,img_url,caption,n_likes_1000,n_comments,age
20,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/234811791_129806492665765_3818609099313777326_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=8uu3Fov7BfgAX_CLvtE&edm=APU89FABAAAA&ccb=7-4&oh=e18a8d752bb06e6caa15278919ce361f&oe=61589948&_nc_sid=86f79a,"Raising the bar at the highest level is what they do. They’ve done it consistently over 25 years. Now you’re out of excuses for not paying attention.

Congratulations to the USA Basketball Women’s National Team on bringing home the program’s 7th straight Olympic Gold Medal and continuing to represent the best of us.",411k,19409,1 month ago
21,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/233948988_367454578115614_8060208202522361395_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=I7AhG2U6k8wAX9CDCmV&edm=APU89FABAAAA&ccb=7-4&oh=471a2de15abf70f2692e768e1e2c5a9a&oe=615881AE&_nc_sid=86f79a,"New team. Same dream.

@usabasketball silences the doubters by letting their game speak for itself.

When we add to history, we Play New.",136k,1439,1 month ago
22,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/231872645_968135217373265_5008746473109588766_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=qALfWVkfy_YAX_tH6PC&edm=APU89FABAAAA&ccb=7-4&oh=85a944a7e92be8ad26f437993bc59f8e&oe=615C3349&_nc_sid=86f79a,"The Super 5 League is a 5-a-side football community for women and non-binary people in Hackney, East London. 

In a sport that’s been difficult for them and others to access at times, the league provides an inclusive space for football and friendship – now 56 teams strong across 7 divisions.

Their sense of creativity and flair is clear on the pitch, both in their brightly coloured kits and the way the players communicate with each-other. “The league feels like a space that I should be in. I feel closer to myself than when Im anywhere else in my life.”

How do you express yourself on the pitch? 

📷 by @katebones",238k,1928,1 month ago
23,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/233600471_351402383102438_4394878778281473609_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=QO6kD5b4uawAX99ixeF&edm=APU89FABAAAA&ccb=7-4&oh=21ec87dc24fbd7e8a711605822e20761&oe=615830F3&_nc_sid=86f79a,"“When you win, you get the reward. On this team, we’ve won, and we’re taken for granted.” — @dianataurasi 

You should know this team. Undefeated since ’96. Six straight Gold Medals. W after W, the USA Basketball Women’s National Team has never stopped raising the bar for the rest of the world. Meet the women who conquer injustice at home and crush their foes abroad. Meet your new heroes. They’ve been here all along. 

Tag the people who push you to raise your game.",109k,1768,1 month ago
24,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/230441931_4047696581995237_3969662274238408454_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=edlDmKet360AX-SjPxt&edm=APU89FABAAAA&ccb=7-4&oh=bd595cdc2f47876a11272d020cf98c06&oe=615DF727&_nc_sid=86f79a,"🤙 “YEAH BOY!!” 🤙

That’s the amped-up refrain you hear when members of the Tarkwa Bay Surf Club crush a wave. The big dream for this tight-knit community of shredders just outside of Lagos City, Nigeria? Qualifying to represent their country on the world stage in 2024. 

Follow their journey to go pro at @nigeria_surfing and tag who gets you hyped in the comments.

📸: @olihillyer_riley captured before the lockdowns in 2020.",393k,3817,1 month ago
25,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/230218434_208718997860410_5648038776436155864_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=71ZTW-8cLDIAX-o5ysj&edm=APU89FABAAAA&ccb=7-4&oh=d1c30861d54944974e551a7f5f322c23&oe=615820B1&_nc_sid=86f79a,"The colors are richer, the sounds are louder and the energy is off the chain. This is road tennis in Barbados.",97k,1780,1 month ago
26,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/228967861_4413180605371030_2641086992761098754_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=exclc4zLSd4AX8SxBOV&edm=APU89FABAAAA&ccb=7-4&oh=526f8704b3c3b31601957ed590d074ab&oe=615E08E4&_nc_sid=86f79a,"On any given day, on any flat road in Barbados, you’ll find chalk outlining a court, plywood standing in as a net, and a stripped tennis ball flying back and forth between two players. This is road tennis.

Adopted from the British game of lawn tennis and made its own on the streets, the sport as become integral to the Barbadian culture. Today, permanent courts have popped up all over the island to accommodate the emerging pro circuit. With an expanding roster of players who are determined to grow their sport, it may soon be played all over the world.

What sport is vital to your community? Share below.

✍️: @daphneewingchow 
📸: @aniyaemtage 
🎨: @davidlinchen",287k,2525,1 month ago
27,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/225932580_492541468389756_4711772475495517395_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=7EIpy3g4v6kAX_TC3my&edm=APU89FABAAAA&ccb=7-4&oh=193a3d14ed45fec6af9c56a9c93e8a7f&oe=61586397&_nc_sid=86f79a,The Shores of Dakar are home to a different type of beach break…,131k,2840,2 months ago
28,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/226593181_346871606896630_4066766696151032724_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=nKB1qKNLwzUAX_voCju&edm=APU89FABAAAA&ccb=7-4&oh=c9c402f6df9f79e8a84c54d2a3db9ce0&oe=615D7F19&_nc_sid=86f79a,"Breakdancing may seem like an unexpected beach sport, but in the West African city of Dakar, locals come to the shore every day to watch this crew perform.

Yoff Beach is a destination for sports, and when the Power Crew stepped on the scene in 2013, they found that uneven sand and shallow waters helped maximize their agility and strength. But these seven dancers aren’t just there to level-up their street performance—they’re hoping to show audiences they can break, too. And with the sport’s deep roots in African culture, theres no better stage for it than the stunning landscape of the Senegalese city’s shoreline.

Tell us your favorite place to train outdoors.

✍️: @kimiyasho
📸: @johngingerwessels",277k,2519,2 months ago
29,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/221409066_385906599596761_3789685476124269529_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=6R8KQVrf1n0AX9CQtfY&edm=APU89FABAAAA&ccb=7-4&oh=2c4c976d80e38646d3191dda14c889dc&oe=61581F4E&_nc_sid=86f79a,"“I’m a Black woman and I love everything that I am. And I won’t apologize for that. This is my platform to help the next Black girl, so she doesn’t get swept under the rug.” 💪🏀🔥🙌

It still seems unreal to @aja22wilson that she’s accomplished so much in so little time. But legacies like A’ja’s wait for nobody. While her greatness on the court wins awards and gets statues built in her honor, A’ja’s commitment to young girls who look up to her is the New Fierce. 

“This generation is so bold, so tough, so real, and so strong. Get in your bag with this one and take over.” 

Tag the women who are the New Fierce in your life. 

🎥: @rashadfloyd
📷: @stephaniemeiling
📷: @54ghosts",184k,4254,2 months ago
