Sr_No,Image_URL,Caption,Likes_in_1000,n_comments,Age,Labels,Anger,Joy,Surprise
20,https://instagram.flwo4-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/234811791_129806492665765_3818609099313777326_n.jpg?_nc_ht=instagram.flwo4-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=w9_l9v0XL2AAX88ee26&edm=APU89FABAAAA&ccb=7-4&oh=17078d00b60cc6bb18ade4ae3d9fb591&oe=615DDF48&_nc_sid=86f79a,"Raising the bar at the highest level is what they do. They’ve done it consistently over 25 years. Now you’re out of excuses for not paying attention.

Congratulations to the USA Basketball Women’s National Team on bringing home the program’s 7th straight Olympic Gold Medal and continuing to represent the best of us.",411k,19408,1 month ago,"Flash photography,Neck,Grey,Style,Black-and-white,Tints and shades,Art,Monochrome,Monochrome photography,Darkness",None,None,None
21,https://instagram.flwo4-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/233948988_367454578115614_8060208202522361395_n.jpg?_nc_ht=instagram.flwo4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=Ykb6Z_kUaAYAX_8Xjr1&edm=APU89FABAAAA&ccb=7-4&oh=ce4440142091f71d8e1ba9b29a85547e&oe=615DC7AE&_nc_sid=86f79a,"New team. Same dream.

@usabasketball silences the doubters by letting their game speak for itself.

When we add to history, we Play New.",136k,1438,1 month ago,"Sports uniform,Basketball,Active tank,Muscle,Jersey,Product,Smile,Basketball player,Player,Shorts",VERY_UNLIKELY,VERY_LIKELY,VERY_UNLIKELY
22,https://instagram.flwo4-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/231872645_968135217373265_5008746473109588766_n.jpg?_nc_ht=instagram.flwo4-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=abVJn4HRjGkAX-tK1iR&edm=APU89FABAAAA&ccb=7-4&oh=11ee7ab79818f5c876f777e3fdf52e0d&oe=61622209&_nc_sid=86f79a,"The Super 5 League is a 5-a-side football community for women and non-binary people in Hackney, East London. 

In a sport that’s been difficult for them and others to access at times, the league provides an inclusive space for football and friendship – now 56 teams strong across 7 divisions.

Their sense of creativity and flair is clear on the pitch, both in their brightly coloured kits and the way the players communicate with each-other. “The league feels like a space that I should be in. I feel closer to myself than when Im anywhere else in my life.”

How do you express yourself on the pitch? 

📷 by @katebones",238k,1934,1 month ago,"Cloud,Shorts,Sky,Sports uniform,Playing sports,Sports equipment,Player,People in nature,Tree,Grass",VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY
23,https://instagram.flwo4-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/233600471_351402383102438_4394878778281473609_n.jpg?_nc_ht=instagram.flwo4-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=UQedRqv9VowAX_tlu9Z&edm=APU89FABAAAA&ccb=7-4&oh=3891aaf3c6aeae8417034f88faf9e9e0&oe=615E1FB3&_nc_sid=86f79a,"“When you win, you get the reward. On this team, we’ve won, and we’re taken for granted.” — @dianataurasi 

You should know this team. Undefeated since ’96. Six straight Gold Medals. W after W, the USA Basketball Women’s National Team has never stopped raising the bar for the rest of the world. Meet the women who conquer injustice at home and crush their foes abroad. Meet your new heroes. They’ve been here all along. 

Tag the people who push you to raise your game.",109k,1770,1 month ago,"Forehead,Face,Chin,Eyebrow,Eye,Facial expression,Blue,Flag of the united states,Gesture,Flag",VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
24,https://scontent-hel3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/230441931_4047696581995237_3969662274238408454_n.jpg?_nc_ht=scontent-hel3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=9gOXDNROEn0AX_p8SSk&edm=APU89FABAAAA&ccb=7-4&oh=e1fde13633fb3f57495a46d69d3fb0d3&oe=6161EBA7&_nc_sid=86f79a,"🤙 “YEAH BOY!!” 🤙

That’s the amped-up refrain you hear when members of the Tarkwa Bay Surf Club crush a wave. The big dream for this tight-knit community of shredders just outside of Lagos City, Nigeria? Qualifying to represent their country on the world stage in 2024. 

Follow their journey to go pro at @nigeria_surfing and tag who gets you hyped in the comments.

📸: @olihillyer_riley captured before the lockdowns in 2020.",393k,3821,2 months ago,"Shorts,Water,Sky,Surfboard,Trunks,Surfing,Leg,Cloud,People in nature,Sports equipment",VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
25,https://scontent-hel3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/230218434_208718997860410_5648038776436155864_n.jpg?_nc_ht=scontent-hel3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=qzVOrIqXTuQAX8r2Rvd&edm=APU89FABAAAA&ccb=7-4&oh=cdfa91eebabff50b55539069fd84c30a&oe=615E0F71&_nc_sid=86f79a,"The colors are richer, the sounds are louder and the energy is off the chain. This is road tennis in Barbados.",97k,1780,2 months ago,"Sky,Plant,Tree,Motor vehicle,Building,Window,Urban design,Thoroughfare,House,Landscape",None,None,None
26,https://scontent-hel3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/228967861_4413180605371030_2641086992761098754_n.jpg?_nc_ht=scontent-hel3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=RgCX0WsXqfsAX_vIfrW&edm=APU89FABAAAA&ccb=7-4&oh=5fbfc0855200b983226965058899fb51&oe=6161FD64&_nc_sid=86f79a,"On any given day, on any flat road in Barbados, you’ll find chalk outlining a court, plywood standing in as a net, and a stripped tennis ball flying back and forth between two players. This is road tennis.

Adopted from the British game of lawn tennis and made its own on the streets, the sport as become integral to the Barbadian culture. Today, permanent courts have popped up all over the island to accommodate the emerging pro circuit. With an expanding roster of players who are determined to grow their sport, it may soon be played all over the world.

What sport is vital to your community? Share below.

✍️: @daphneewingchow 
📸: @aniyaemtage 
🎨: @davidlinchen",287k,2526,2 months ago,"Building,Window,Field house,Plant,Urban design,Architecture,Grass,Leisure,Tree,Residential area",None,None,None
27,https://scontent-hel3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/225932580_492541468389756_4711772475495517395_n.jpg?_nc_ht=scontent-hel3-1.cdninstagram.com&_nc_cat=100&_nc_ohc=M__nDKa4ZlQAX-q4_pk&edm=APU89FABAAAA&ccb=7-4&oh=9c4e7990ed067963a64a816e9f14b0d9&oe=615DA997&_nc_sid=86f79a,The Shores of Dakar are home to a different type of beach break…,131k,2840,2 months ago,"Water,Sky,Cloud,People in nature,Beach,People on beach,Dress,Happy,Wood,Knee",None,None,None
28,https://scontent-hel3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/226593181_346871606896630_4066766696151032724_n.jpg?_nc_ht=scontent-hel3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=x49469iFt2cAX9WaC2U&edm=APU89FABAAAA&ccb=7-4&oh=085e3886178eac06fca37e72a0f47fc1&oe=61636DD9&_nc_sid=86f79a,"Breakdancing may seem like an unexpected beach sport, but in the West African city of Dakar, locals come to the shore every day to watch this crew perform.

Yoff Beach is a destination for sports, and when the Power Crew stepped on the scene in 2013, they found that uneven sand and shallow waters helped maximize their agility and strength. But these seven dancers aren’t just there to level-up their street performance—they’re hoping to show audiences they can break, too. And with the sport’s deep roots in African culture, theres no better stage for it than the stunning landscape of the Senegalese city’s shoreline.

Tell us your favorite place to train outdoors.

✍️: @kimiyasho
📸: @johngingerwessels",277k,2521,2 months ago,"Sky,Water,People in nature,Human body,Beach,Happy,People on beach,Gesture,Performing arts,Fun",None,None,None
29,https://scontent-hel3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/221409066_385906599596761_3789685476124269529_n.jpg?_nc_ht=scontent-hel3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=jsbVZQgTkrsAX_woNpn&edm=APU89FABAAAA&ccb=7-4&oh=0e4ba101f6b422a392eeb4094a3cf46d&oe=615E0E0E&_nc_sid=86f79a,"“I’m a Black woman and I love everything that I am. And I won’t apologize for that. This is my platform to help the next Black girl, so she doesn’t get swept under the rug.” 💪🏀🔥🙌

It still seems unreal to @aja22wilson that she’s accomplished so much in so little time. But legacies like A’ja’s wait for nobody. While her greatness on the court wins awards and gets statues built in her honor, A’ja’s commitment to young girls who look up to her is the New Fierce. 

“This generation is so bold, so tough, so real, and so strong. Get in your bag with this one and take over.” 

Tag the women who are the New Fierce in your life. 

🎥: @rashadfloyd
📷: @stephaniemeiling
📷: @54ghosts",184k,4254,2 months ago,"Footwear,Basketball,Shoe,Leg,Shorts,Basketball moves,Sports equipment,Sneakers,Basketball court,Knee",VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
