,product_name,product_review,Cosine_review_W2V,Sentiment
5967,Smooth,white head hazy yellow color  tons of nectarines very fruity peachy lemon acidity light vinegar some funk mostly sour  light bodied nice carbonation  so much fruit very awesome sour well done,0.7328658951537398,0.861
1057,Doubleganger,pours a medium golden color very hazy ample foamy white head dank hoppy aroma guava and mango balanced hop flavor dank with gentle bitterness that fades citrusy with mango and tropical fruit flavors creamy texture fairly thick and viscous overall a fantastic dipa  42721 16 oz can dated 4221 45 rating,0.732800026234376,0.5859
4413,Hopslam Ale,pours a an apple juice gold with a 12 inch offwhite head smells hoppy piney has a nice balance of malts as well taste certainly follows the nose the balance between the bitter hops  sweet maltiness really couldnt get better mediumfull bodied moderate carbonation chewy heavy finishes smooth another really good ipa from bells slightly higher abv than the twohearted ale,0.7326450202024212,0.7919
4235,Saison Bernice,first pour from the 750ml bottle is clear golden yellow with bubbling effervescence and a nice foamy white head even after several years aging in the bottle further pours produce a hazy cloudy appearance the aroma is clean with light banana hay straw honey lemon apricot apple pear vanilla doughy bready malt some barnyard funk horse blanket hints of clove spice peppercorn apple cider and floral earthy hops tastes tart slightly sour and vinegary with apple cider notes lemon apricot apple pear banana hay straw honey vanilla clove peppercorn medley horse blanket barnyardy funk bready doughy malt and floral earthy hops feels medium bodied smooth with moderate carbonation overall a really great and complex saison,0.7325431200985918,0.9099
2134,West Ashley,cloudy straw appearance with slight white head mild sour fruity aroma taste is a moderate tart sour fruity that has little harshness at the end a very pleasant sour,0.732511743907892,0.5563
5900,Vicinity,pours a golden peach with a fluffy fast dissipating head aroma is big on mango and pineapple with a piney crackery malt note flavor is tropical fruits slightly bitter hops and a soft malt backbone goes down smoothly with a crisp finish a well crafted dipa,0.7324366499674327,-0.1045
4913,Barrel-Aged Silhouette,750 ml bottle into snifter 2018 vintage bottle 4949 pours opaque dark brownblack color with a small fairly dense khaki head with poor retention that reduces to a minimal spotty lace cap that lingers minimal spotty lacing on the glass with a fair amount of streaming carbonation aromas of big milkdark chocolate cocoa coffee caramel molasses brown sugar toffee bourbon toasted oak roasted nuts biscuit and darkbrown breadcrust with lighter notes of vanilla coconut licorice raisin prune cherry fig date smoke charcoal leather tobacco herbal grass pepper and yeastroasttoasted earthiness damn nice aromas with great balance and complexity of darkroastbready malts moderate bourbon barrels and light fruity yeastearthy hop notes with big strength taste of huge milkdark chocolate cocoa coffee caramel molasses brown sugar toffee bourbon toasted oak roasted nuts biscuit and darkbrown breadcrust with lighter notes of vanilla coconut licorice raisin prune cherry fig date smoke charcoal leather tobacco herbal grass pepper and yeastroasttoasted earthiness very mild herbal grass roast charred bitterness and bourbonoak tannin spiciness on the finish lingering notes of milkdark chocolate cocoa coffee caramel molasses brown sugar toffee bourbon toasted oak roasted nuts biscuit darkbrown breadcrust vanilla coconut licorice dark fruit smoke charcoal leather tobacco herbal grass pepper and yeastroasttoasted earthiness on the finish for a while fantastic complexity robustness and balance of darkroastbready malts moderate bourbon barrels and light fruity yeastearthy hop flavors with a nice roasted bittersweet and bourbonoak spiciness balance with no cloying acrid astringent flavors after the finish lightly increasing dryness from lingering bitterness and bourbonoak spiciness lightmedium carbonation and very full body with a very smooth creamysilkyvelvetybready and lightly slickstickychalkytannic mouthfeel that is fantastic minimal warming alcohol for 10 with no lingering barrel booze after the finish overall this is a fantastic barrel aged russian imperial stout all around fantastic complexity robustness and balance of darkroastbready malts moderate bourbon barrels and light fruity yeastearthy hop flavors very smooth and dangerously easy to sip on for the big abv with the minimally bittertannicdrying finish fantastic soft feel not as much barrel as i expected but adequate fantastic rich malt complexity solid barrel presenceintegration restrained fruity yeast and mild earthy hops not overly sweetheavy from lingering dryness a highly enjoyable offering and impressive spot on style example,0.7322283343052225,0.9845
1094,Double Citra®,042014  oooh that citra mustiness plus citrus hops up front chewy flavorful mouthfeel clean too so fucking good and by far my favorite solo citra hopped beer out there,0.732191618845656,0.847
3949,Abt 12,pours a ruby mahogany 1 loose tan head moderate retention nose is rich with raisins stewed prune roasted cherry rumsoaked fruit cake fruit wood baking spice fruity yeast esters and alcohol taste follows up front with rich dark fruit notes but there isnt an overwhelming sweetness here similar to a deep molasses mildly bitter tannic notes as well balance out the fruitier notes toasted brown bread expresses itself midpalate on the finish fruity yeasty flavors carry through along with wellexpressed alcohol mouthfeel is moderate with sharp carbonation,0.7305196568841933,-0.3699
5382,Very HHHazyyy,muted orange haze nose is candy peach pineapple and whipped cream taste is super ripe peach fruit gummies melon and a hint of mango ridiculously saturated fruit flavors soft but moderately crisp mouthfeel super drinkable wild,0.7304711013493589,0.7964
3343,Permanent Funeral,canned 92920 pours a medlarger frothy creamy 1 finger head with great retention fair soapy lacing super hazy burntorange color  nose has sweet candied fruit candied orange zest sweet apricot and stone fruit some pine sap and musty notes a hint of fruity esters as well mild sweet malt and honey cake notes light smooth alcohol  taste comes on rich as well big sweet malt and hop character sweet malts out front candy like malts blond malts and a bit of honey cake again a touch of perfumey alcohol then big hops kick in candied fruit again citrus stone fruit apricot orange marmalade med bitterness at first but slowly ramping hops getting spicy and a bit piney late with high bitterness on the mild sticky finish and a touch more alcohol  mouth is med to fuller bod higher foamy frothy carb a bit of warming alcohol but no burn  overall a nice old school dipa lots of candied fruit with big malts and big hops,0.7302101767167359,0.9349
1016,Zombie Dust,pours a hazy golden color with a medium head that persists as lacing  smells of piney floral hops with some citrus tastes of malt hops citrus and pineapple with a lightly bitter finish  medium body with light carbonation smooth clean mouthfeel  this is a very plesant mild mannered drinkable and well made brew,0.7296506231099721,0.25
3647,Heavy Mettle,look  classic nehazy and golden color smell  juicy fruity grapefruit tangerine taste  slight bite fruity tangy similar to the scent but more extreme feel  medium full body with a light carbonation overall  great beer but more bite then needed,0.7294819239252651,0.7684
2777,Cutting Tiles - Mosaic,can one off from de bierkoning  home 24 days after canning murkey yellow golden colour somewhat frothy off white head aromas of dank hops onion resinous bitterness retronasal its somewhat sweet very dank hops resin juice flavour is moderate sweet with light bitterness medium bodied good carbonation long finish light moderate bitter and orange soda  great stuff and a good burp,0.7293977772029543,0.813
4815,Matt,bottle from jeremy ruddy brown pour soft bubbly head woody malty aroma taste also leans on the malt woody earthy notes finishes dry excellent update 2013 vintage bottle thanks to buckeyeboy dark brown and relatively flat swwet dark malts pit fruit woody smoky taste is rich sweet and boozy slippery and very tasty,0.7293556369363554,0.9217
