Sr_No,Image_URL,Caption,Likes_in_1000,n_comments,Age,Labels,Anger,Joy,Surprise
20,https://scontent-hel3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/185741025_3045934575623912_8158901633905253997_n.jpg?_nc_ht=scontent-hel3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=668-5dncM7QAX-IqN8i&edm=APU89FABAAAA&ccb=7-4&oh=01e108682577270a703e05783a2ea301&oe=615DC79C&_nc_sid=86f79a,"FUTURECRAFT.FOOTPRINT: Made to fit the planet. Together with @allbirds, we measured every step of the process. From growing materials to end of life. Were not at zero, yet. But we are proving that collaboration will get us there faster. #ImpossibleIsNothing #Futurecraft #TreadLighter",25k,280,4 months ago,Flower Plant People in nature Leg Happy Grass Natural landscape Shrub Thigh Waist,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
21,https://scontent-hel3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/185851254_416880099667885_7160291424369417353_n.jpg?_nc_ht=scontent-hel3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=CjZ-yZiTliAAX_sr9lF&edm=APU89FABAAAA&ccb=7-4&oh=ceda0cdf22a05ff689f184b83885fc50&oe=6162B8DF&_nc_sid=86f79a,"FUTURECRAFT.FOOTPRINT is the lowest carbon emissions performance running shoe weve ever created. Every step measured to draw down every last gram of weight and carbon to 2.94 kg CO2e per pair.

Together with @allbirds, were proving that the hardest part of tackling climate change is facing the challenge head on and making a start. Well keep on, until every shoe, and every product, is made to fit the planet.

#ImpossibleIsNothing #Futurecraft #TreadLighter",54k,1934,4 months ago,Water Outdoor shoe Walking shoe Grey Plant Sportswear Grass Sneakers Font Athletic shoe,None,None,None
22,https://scontent-hel3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/185791053_480725962980218_1266613839463705486_n.jpg?_nc_ht=scontent-hel3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=JnOu2zgLdkkAX__LY18&edm=APU89FABAAAA&ccb=7-4&oh=acc0c053018d412e679528173ebc9898&oe=6161E408&_nc_sid=86f79a,"A year ago we saw the possibility to turn a competitor into a collaborator to accelerate our collective journey to carbon neutral. Today at 4PM CET were unveiling FUTURECRAFT.FOOTPRINT. Made to fit the planet with @allbirds. Its the first time in history we hope others beat our personal best sooner.

#ImpossibleIsNothing #Futurecraft #TreadLighter

Join the keynote event via the link in bio.",36k,269,4 months ago,Plant Bedrock Organism Terrestrial plant Road surface Grass Natural landscape Groundcover Asphalt Art,None,None,None
23,https://scontent-hel3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/184878541_1193968494354826_5256123424387902864_n.jpg?_nc_ht=scontent-hel3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=knMmro_GrGYAX-l_czO&edm=APU89FABAAAA&ccb=7-4&oh=b7ad05aae599d1c0db41e92985e9dbbb&oe=615DB525&_nc_sid=86f79a,"There’s no waiting for change. We see possibilities in standing with @layshiac, @chiney, @nnekaogwumike, @ecambage, @candaceparker, @mccoughtry, and @_bonnbonn, who use their platforms to demand justice.

What possibilities do you see?
#ImpossibleIsNothing

Story narrated by Lena Waithe (@lenawaithe).",20k,280,4 months ago,Forehead Face Head Eye Flash photography Eyelash Font Darkness Photo caption Jewellery,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
24,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/183843832_111056777717145_1617895838320502142_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=LUpuqdB37jEAX9JDdkc&edm=APU89FABAAAA&ccb=7-4&oh=f1e3ba9a20c68c9f971b0f3346e3ada5&oe=615E21E9&_nc_sid=86f79a,"Turning @allbirds into colleagues has helped us go faster and further towards carbon neutral high-performance. And, were sharing our secrets. Because together we can make our footprint fit the planet sooner. #ImpossibleIsNothing #Futurecraft #TreadLighter

Join us: link in bio.",20k,276,4 months ago,Face Head Sky Facial expression Flash photography Neck Happy People in nature Chest Vest,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
25,https://instagram.flwo4-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/183369562_1455091184831962_4012182633630898291_n.jpg?_nc_ht=instagram.flwo4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=Phi_DrMekFcAX88i5KZ&edm=APU89FABAAAA&ccb=7-4&oh=04b0a4a73ad2a0b6be7775bdecfc36f2&oe=615DCE27&_nc_sid=86f79a,"When @charlyncorral looked at the pitch, she saw possibilities to cut through defenders and judgment. So all people can see the possibilities to turn challenge into opportunity.

What possibilities do you see?
#ImpossibleIsNothing

Story narrated by Marion Reimers (@lareimers).",22k,210,4 months ago,Plant Sleeve Flash photography Happy Travel Tree Font Grass Cool Landscape,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
26,https://instagram.flwo4-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/182320207_512242219791226_2841422506220447119_n.jpg?_nc_ht=instagram.flwo4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=JGnn_GlRhU8AX_rmqc-&edm=APU89FABAAAA&ccb=7-4&oh=410f8ef08e6d7c27f5d09d811eae5346&oe=615E12C2&_nc_sid=86f79a,"@hima_mon_jai saw the possibilities in being the first Indian woman to win track and field gold, inspiring us to see our own possibilities.

What possibilities do you see?
#ImpossibleIsNothing",27k,250,4 months ago,Ecoregion Plant Tree Natural landscape Natural environment Land lot Sky Body of water Atmospheric phenomenon Grass,None,None,None
27,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/181971852_494724085048749_4054614867149972752_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=VAmjPxkhZHgAX8H2ILS&edm=APU89FABAAAA&ccb=7-4&oh=32b08817a534fcf196094811f37be2e5&oe=615E1419&_nc_sid=86f79a,"We never stop seeing the possibilities to go faster than ever before. It drives us to create our fastest running shoe. Ever. And then do it again.​

What possibilities do you see?​
#ImpossibleIsNothing​

Story narrated by @samhandy.",19k,166,4 months ago,Water Natural landscape Wood Happy Tints and shades Font Landscape People in nature Lens flare Photo caption,None,None,None
28,https://instagram.flwo4-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/181188942_771318063569774_9190489780566385491_n.jpg?_nc_ht=instagram.flwo4-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=ZQL3DwJcg14AX8lPiRS&edm=APU89FABAAAA&ccb=7-4&oh=bd412716f83323dbdb744f3132576941&oe=615D89EF&_nc_sid=86f79a,"We saw the possibilities to do what’s never been done before. By turning thousands of footprint scans into the first 3D printed midsole, we are changing the future of sport. Forever.
 
What possibilities do you see?
#ImpossibleIsNothing
 
Story narrated by Iddris Sandu (@iddrisandu).",26k,402,5 months ago,Architecture Automotive design Fixture Font Gas Vehicle Stage equipment Display device Flooring Glass,None,None,None
29,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/178924568_473647777168864_6128235260044605581_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=lu3iaD7HR1QAX--rz0S&edm=APU89FABAAAA&ccb=7-4&oh=233d83ca2cf4fb2136ebc5c909094a93&oe=615D9086&_nc_sid=86f79a,"@avtrusova saw the possibilities in becoming the first woman to land three quads, inviting us all to see the possibilities in landing our own “firsts.”​

What possibilities do you see?​
#ImpossibleIsNothing​

Story narrated by Masha Komandnaya (@komandnaya).",23k,563,5 months ago,Asphalt Font Flooring Competition event Recreation Sports Slope Winter sport Player Rolling,None,None,None
